details_id,pair,timestamp,rate,volume
fracturing-orb,chaos,2026-01-01T00:00:00Z,465.8,1716
fracturing-orb,chaos,2025-12-31T00:00:00Z,480.5,2147
fracturing-orb,chaos,2025-12-30T00:00:00Z,226.6,1571
fracturing-orb,chaos,2025-12-29T00:00:00Z,152.1,925.7
fracturing-orb,chaos,2025-12-28T00:00:00Z,87.66,1071
fracturing-orb,chaos,2025-12-27T00:00:00Z,43.65,315.3
fracturing-orb,chaos,2025-12-26T00:00:00Z,46.48,238.2
fracturing-orb,chaos,2025-12-25T00:00:00Z,58.91,213.6
fracturing-orb,chaos,2025-12-24T00:00:00Z,61.49,235.5
fracturing-orb,chaos,2025-12-23T00:00:00Z,59.81,213.6
fracturing-orb,chaos,2025-12-22T00:00:00Z,33.16,203.1
fracturing-orb,chaos,2025-12-21T00:00:00Z,29.97,52.47
fracturing-orb,chaos,2025-12-20T00:00:00Z,37.33,39.08
fracturing-orb,chaos,2025-12-19T00:00:00Z,31.9,28.24
fracturing-orb,chaos,2025-12-18T00:00:00Z,34.8,40.33
fracturing-orb,chaos,2025-12-17T00:00:00Z,33.18,40.43
fracturing-orb,chaos,2025-12-16T00:00:00Z,20.0,56.82
fracturing-orb,chaos,2025-12-15T00:00:00Z,6.73,25.71
fracturing-orb,chaos,2025-12-14T00:00:00Z,3.95,4.57
fracturing-orb,chaos,2025-12-13T00:00:00Z,5.4,0
vaal-cultivation-orb,divine,2026-01-15T00:00:00Z,4.74,14366
vaal-cultivation-orb,divine,2026-01-14T00:00:00Z,4.46,17086
vaal-cultivation-orb,divine,2026-01-13T00:00:00Z,5.28,21608
vaal-cultivation-orb,divine,2026-01-12T00:00:00Z,3.52,14015
vaal-cultivation-orb,divine,2026-01-11T00:00:00Z,2.58,12236
vaal-cultivation-orb,divine,2026-01-10T00:00:00Z,2.13,7518
vaal-cultivation-orb,divine,2026-01-09T00:00:00Z,1.72,7327
vaal-cultivation-orb,divine,2026-01-08T00:00:00Z,0.8876,2396
vaal-cultivation-orb,divine,2026-01-07T00:00:00Z,0.8063,2173
vaal-cultivation-orb,divine,2026-01-06T00:00:00Z,0.7644,1809
vaal-cultivation-orb,divine,2026-01-05T00:00:00Z,0.7677,1955
vaal-cultivation-orb,divine,2026-01-04T00:00:00Z,1.11,2671
vaal-cultivation-orb,divine,2026-01-03T00:00:00Z,1.82,3961
vaal-cultivation-orb,divine,2026-01-02T00:00:00Z,0.9779,2519
vaal-cultivation-orb,divine,2026-01-01T00:00:00Z,0.8249,1915
vaal-cultivation-orb,divine,2025-12-31T00:00:00Z,0.5263,761.0
vaal-cultivation-orb,divine,2025-12-30T00:00:00Z,0.5506,638.5
vaal-cultivation-orb,divine,2025-12-29T00:00:00Z,0.5298,802.5
vaal-cultivation-orb,divine,2025-12-28T00:00:00Z,0.4251,391.1
vaal-cultivation-orb,divine,2025-12-27T00:00:00Z,0.7397,659.5
vaal-cultivation-orb,divine,2025-12-26T00:00:00Z,1.42,936.6
vaal-cultivation-orb,divine,2025-12-25T00:00:00Z,1.51,831.6
vaal-cultivation-orb,divine,2025-12-24T00:00:00Z,1.53,813.1
vaal-cultivation-orb,divine,2025-12-23T00:00:00Z,1.5,693.9
vaal-cultivation-orb,divine,2025-12-22T00:00:00Z,1.51,693.8
vaal-cultivation-orb,divine,2025-12-21T00:00:00Z,1.42,505.3
vaal-cultivation-orb,divine,2025-12-20T00:00:00Z,1.28,348.6
vaal-cultivation-orb,divine,2025-12-19T00:00:00Z,1.14,285.5
vaal-cultivation-orb,divine,2025-12-18T00:00:00Z,1.19,209.1
vaal-cultivation-orb,divine,2025-12-17T00:00:00Z,1.03,144.8
vaal-cultivation-orb,divine,2025-12-16T00:00:00Z,0.5742,18.39
vaal-cultivation-orb,divine,2025-12-15T00:00:00Z,0.2738,0.6667
vaal-cultivation-orb,divine,2025-12-14T00:00:00Z,0.3333,0
vaal-cultivation-orb,exalted,2026-01-15T00:00:00Z,1464,736.0
vaal-cultivation-orb,exalted,2026-01-14T00:00:00Z,1495,837.1
vaal-cultivation-orb,exalted,2026-01-13T00:00:00Z,1687,970.8
vaal-cultivation-orb,exalted,2026-01-12T00:00:00Z,1172,1310
vaal-cultivation-orb,exalted,2026-01-11T00:00:00Z,846.6,1706
vaal-cultivation-orb,exalted,2026-01-10T00:00:00Z,677.4,1299
vaal-cultivation-orb,exalted,2026-01-09T00:00:00Z,545.4,1907
vaal-cultivation-orb,exalted,2026-01-08T00:00:00Z,280.7,866.0
vaal-cultivation-orb,exalted,2026-01-07T00:00:00Z,225.5,950.8
vaal-cultivation-orb,exalted,2026-01-06T00:00:00Z,196.0,653.2
